Freq.	V(out)
1.18194994660385e-002	-4.90923382756779e-002,8.00453947063003e-002
1.18246864657707e-002	-4.91349890312339e-002,8.00855639796665e-002
1.18298757418231e-002	-4.91776764490900e-002,8.01257574584223e-002
1.18350672951948e-002	-4.92204005600718e-002,8.01659751617157e-002
1.18402611268852e-002	-4.92631613950338e-002,8.02062171087146e-002
1.18454572378940e-002	-4.93059589848499e-002,8.02464833186051e-002
1.18506556292216e-002	-4.93487933604228e-002,8.02867738105938e-002
1.18558563018687e-002	-4.93916645526796e-002,8.03270886039065e-002
1.18610592568364e-002	-4.94345725925703e-002,8.03674277177879e-002
1.18662644951264e-002	-4.94775175110715e-002,8.04077911715027e-002
1.18714720177406e-002	-4.95204993391833e-002,8.04481789843347e-002
1.18766818256816e-002	-4.95635181079303e-002,8.04885911755873e-002
1.18818939199523e-002	-4.96065738483629e-002,8.05290277645833e-002
1.18871083015560e-002	-4.96496665915579e-002,8.05694887706655e-002
1.18923249714966e-002	-4.96927963686148e-002,8.06099742131960e-002
1.18975439307782e-002	-4.97359632106578e-002,8.06504841115561e-002
1.19027651804056e-002	-4.97791671488375e-002,8.06910184851471e-002
1.19079887213838e-002	-4.98224082143279e-002,8.07315773533899e-002
1.19132145547185e-002	-4.98656864383297e-002,8.07721607357250e-002
1.19184426814156e-002	-4.99090018520667e-002,8.08127686516124e-002
1.19236731024816e-002	-4.99523544867908e-002,8.08534011205324e-002
1.19289058189234e-002	-4.99957443737735e-002,8.08940581619840e-002
1.19341408317483e-002	-5.00391715443173e-002,8.09347397954868e-002
1.19393781419640e-002	-5.00826360297450e-002,8.09754460405798e-002
1.19446177505788e-002	-5.01261378614093e-002,8.10161769168221e-002
1.19498596586014e-002	-5.01696770706825e-002,8.10569324437919e-002
1.19551038670407e-002	-5.02132536889651e-002,8.10977126410879e-002
1.19603503769065e-002	-5.02568677476846e-002,8.11385175283288e-002
